State or Territory,Number with Current Asthma,Percent with Current Asthma,,,,
Alabama,"353,847",9.5,,,,
Alaska,"44,865",8.1,,,,
Arizona,"484,115",9.6,,,,
Arkansas,"197,478",8.8,,,,
California,"2,279,568",7.8,,,,
Colorado,"342,994",8.4,,,,
Connecticut,"257,311",9.2,,,,
Delaware,"63,855",8.8,,,,
District of Columbia,"62,346",11.5,,,,
Florida,"1,268,162",8.0,,,,
Georgia,"626,931",8.3,,,,
Hawaii,"102,093",9.2,,,,
Idaho,"103,201",8.6,,,,
Illinois,"898,521",9.1,,,,
Indiana,"532,909",10.7,,,,
Iowa,"201,266",8.5,,,,
Kansas,"189,350",8.7,,,,
Kentucky,"402,690",11.9,,,,
Louisiana,"270,261",7.7,,,,
Maine,"122,881",11.6,,,,
Maryland,"393,571",8.5,,,,
Massachusetts,"636,176",12.0,,,,
Michigan,"831,656",10.9,,,,
Minnesota,"350,818",8.4,,,,
Mississippi,"166,117",7.4,,,,
Missouri,"450,530",9.7,,,,
Montana,"76,683",9.6,,,,
Nebraska,"108,805",7.7,,,,
Nevada,"172,343",8.1,,,,
New Hampshire,"107,371",10.2,,,,
New Jersey,"570,238",8.3,,,,
New Mexico,"154,861",9.9,,,,
New York,"1,642,598",10.7,,,,
North Carolina,"592,279",7.8,,,,
North Dakota,"50,533",8.7,,,,
Ohio,"957,711",10.8,,,,
Oklahoma,"284,303",9.7,,,,
Oregon,"314,501",10.2,,,,
Pennsylvania,"979,527",9.8,,,,
Rhode Island,"89,462",10.8,,,,
South Carolina,"309,409",8.3,,,,
South Dakota,"48,213",7.5,,,,
Tennessee,"448,189",8.9,,,,
Texas,"1,312,573",6.7,,,,
Utah,"178,514",8.7,,,,
Vermont,"56,644",11.3,,,,
Virginia,"556,765",8.6,,,,
Washington,"500,993",9.3,,,,
West Virginia,"161,534",11.0,,,,
Wisconsin,"456,134",10.3,,,,
Wyoming,"37,351",8.3,,,,
Guam,"5,972",5.6,,,,
Puerto Rico,"298,155",10.6,,,,